rho,gamma,delta,alpha,kappa,beta_judge,top1_hit,top3_hit,posterior_consistency,map_match_rate,weighted_score,seasons_run,status
0.4,0.0,1.2,3.0,0.4,4.0,0.35570469798657717,0.7449664429530202,0.4647724709388833,0.4810606060606061,0.63614648117171,34,completed
0.4,0.0,1.2,5.0,0.2,4.0,0.34563758389261745,0.7651006711409396,0.5198565671609501,0.625,0.6880317161167537,34,completed
0.4,0.0,1.2,3.0,0.2,4.0,0.35906040268456374,0.7651006711409396,0.4964619079599632,0.5681818181818182,0.67198914791292,34,completed
0.4,0.0,1.2,5.0,0.2,2.0,0.35906040268456374,0.7416107382550335,0.5129404664008391,0.6174242424242424,0.6710393847180365,34,completed
0.4,0.0,1.2,3.0,0.2,2.0,0.3624161073825503,0.761744966442953,0.49993818124226946,0.5643939393939394,0.6699134039930135,34,completed
0.4,0.0,1.2,3.0,0.3,4.0,0.35570469798657717,0.785234899328859,0.48132954113648135,0.5151515151515151,0.6704371508549147,34,completed
0.4,0.0,1.2,3.0,0.3,2.0,0.35906040268456374,0.7751677852348994,0.47951064036152274,0.5075757575757576,0.6625179507283957,34,completed
0.4,0.0,1.2,3.0,0.4,2.0,0.35570469798657717,0.7550335570469798,0.4655878354640913,0.48863636363636365,0.6438649740482789,34,completed
0.4,0.0,1.2,5.0,0.3,2.0,0.35906040268456374,0.7651006711409396,0.49724679552048634,0.5303030303030303,0.664570367849267,34,completed
0.4,0.0,1.2,5.0,0.4,2.0,0.36577181208053694,0.7651006711409396,0.4758751587305559,0.49242424242424243,0.6527202829155234,34,completed
0.4,0.0,1.2,7.0,0.2,2.0,0.3422818791946309,0.7550335570469798,0.5323740844246186,0.6553030303030303,0.6905555571737177,34,completed
0.4,0.0,1.2,7.0,0.2,4.0,0.3624161073825503,0.7885906040268457,0.5552440995832999,0.6742424242424242,0.7190516671812521,34,completed
0.4,0.0,1.2,5.0,0.3,4.0,0.3624161073825503,0.7785234899328859,0.4917634758951296,0.5113636363636364,0.6677395164114847,34,completed
0.4,0.0,1.2,5.0,0.4,4.0,0.348993288590604,0.7583892617449665,0.4777243096246601,0.5037878787878788,0.6513359947294877,34,completed
0.4,0.0,1.2,7.0,0.3,2.0,0.348993288590604,0.7516778523489933,0.5015769820810575,0.5416666666666666,0.6596554411589408,34,completed
0.4,0.0,1.2,7.0,0.3,4.0,0.35906040268456374,0.7684563758389261,0.5097222255129071,0.5681818181818182,0.6766546342423008,34,completed
0.4,0.0,1.2,7.0,0.4,2.0,0.3422818791946309,0.7718120805369127,0.4866168413698124,0.5037878787878788,0.6611681923536858,34,completed
0.4,0.0,1.2,7.0,0.4,4.0,0.3523489932885906,0.761744966442953,0.4887652068556999,0.5227272727272727,0.6593454757823662,34,completed
0.4,0.0,1.5,3.0,0.2,2.0,0.35570469798657717,0.7550335570469798,0.48987015369182796,0.5946969696969697,0.6699335589059474,34,completed
0.4,0.0,1.5,3.0,0.3,2.0,0.33557046979865773,0.761744966442953,0.47815653565349525,0.5454545454545454,0.6617691960873799,34,completed
0.4,0.0,1.5,3.0,0.3,4.0,0.3523489932885906,0.7248322147651006,0.4805401386619846,0.553030303030303,0.6416134171975179,34,completed
0.4,0.0,1.5,3.0,0.2,4.0,0.34563758389261745,0.7583892617449665,0.5046392326780668,0.625,0.6809614035825933,34,completed
0.4,0.0,1.5,3.0,0.4,2.0,0.34563758389261745,0.7449664429530202,0.47247005343080073,0.5151515151515151,0.6445041794882752,34,completed
0.4,0.0,1.5,3.0,0.4,4.0,0.348993288590604,0.7684563758389261,0.4708727373346736,0.5303030303030303,0.6613089790308965,34,completed
0.4,0.0,1.5,5.0,0.2,4.0,0.3624161073825503,0.7583892617449665,0.5346210935094243,0.6590909090909091,0.6937759575670465,34,completed
0.4,0.0,1.5,5.0,0.2,2.0,0.348993288590604,0.7483221476510067,0.525058300950007,0.7007575757575758,0.6941564639321206,34,completed
0.4,0.0,1.5,5.0,0.4,2.0,0.35570469798657717,0.7416107382550335,0.49858860156046025,0.5416666666666666,0.6530174965984454,34,completed
0.4,0.0,1.5,5.0,0.3,2.0,0.33221476510067116,0.738255033557047,0.5057246363701835,0.5984848484848485,0.6637949171052346,34,completed
0.4,0.0,1.5,5.0,0.3,4.0,0.3422818791946309,0.7416107382550335,0.5018585435070124,0.5984848484848485,0.6650351213513923,34,completed
0.4,0.0,1.5,5.0,0.4,4.0,0.3389261744966443,0.7315436241610739,0.4914111516534596,0.5492424242424242,0.6470568896758211,34,completed
0.4,0.0,1.5,7.0,0.2,2.0,0.35906040268456374,0.7516778523489933,0.5630967169864987,0.7348484848484849,0.7105957517763927,34,completed
0.4,0.0,1.5,7.0,0.2,4.0,0.3288590604026846,0.7248322147651006,0.5583711313330526,0.7159090909090909,0.689755373307489,34,completed
0.4,0.0,1.8,3.0,0.2,2.0,0.3523489932885906,0.7348993288590604,0.505931633238763,0.7159090909090909,0.6853077421450071,34,completed
